onset	duration	Experiment - Satz_B2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
83,091	4	28SM	13	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	83091	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
88,131	4	28SM	14	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	88131	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
95,17	4	28SM	15	107	Der Flugbegleiter heute war wirklich zum Anbei§en!	1	95170	keine	0	keine	5,35	5,35	-0,9	3,63	4,89	44	7	6,526316	0	0	0	1	1	2	0	0	0
103,216	4	28SM	16	311	### #### ### ####### ######## ####### ####################	3	103216	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
108,256	4	28SM	17	243	Meine Gro§eltern hatten ein wirklich schwieriges Leben.	2	108256	keine	0	keine	3,72	2,25	1,1	4,79	1,74	49	7	6,222222	0	0	0	1	1	1	0	0	0
118,296	4	28SM	18	304	### ### #### ########### ############## ######## ### ###	3	118296	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
127,342	6	28SM	19	407	Hast du einen Satz gelesen?	4	127342	Nein	2879	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
135,367	4	28SM	20	111	Der Sieg des LŠufers zog riesige Medienaufmerksamkeit nach sich.	1	135367	keine	0	keine	4,83	4,55	-0,8	5,47	2,68	56	9	6,111111	0	0	0	1	1	1	0	0	0
140,401	4	28SM	21	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	140401	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
146,441	6	28SM	22	408	Ist er gesund?	4	146441	Nein	2121	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
153,481	4	28SM	23	112	Der Stoff des Matheunterrichts ist schwierig.	1	153481	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
160,521	4	28SM	24	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	160521	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
168,567	4	28SM	25	122	Die Unternehmerin stand immer unter Druck.	1	168567	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
173,607	4	28SM	26	318	### ######### #### ##### ######## ##### ######### ### ###	3	173607	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
178,647	4	28SM	27	126	Diesen Sonntag duellieren sich die Kanzlerkandidaten im Fernsehen.	1	178647	keine	0	keine	5,22	4,65	-1,4	4,74	5,21	59	8	5,111111	0	0	0	1	1	2	0	0	0
187,687	4	28SM	28	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	187687	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
196,722	4	28SM	29	307	### ############# ##### ### ######## #########	3	196722	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
207,757	4	28SM	30	313	### ############ #### ### ####### ########	3	207757	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
213,798	4	28SM	31	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	213798	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
218,832	6	28SM	32	409	Hat er eine schšne Gesichtshaut?	4	218832	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
231,878	4	28SM	33	247	Nur sehr intelligente Kinder machen bei diesem Wettbewerb mit.	2	231878	keine	0	keine	3,22	4,1	1,7	4,32	2,16	54	9	5,368421	0	0	0	1	1	2	0	0	0
237,919	4	28SM	34	203	Das GesprŠch beim Finanzamt verlief glŸcklicherweise problemlos.	2	237919	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
242,953	4	28SM	35	343	##### ########## ###### ### ######## ######## #####	3	242953	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
250,993	4	28SM	36	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	250993	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
260,033	4	28SM	37	208	Der Gesang des Opernstars ist wunderschšn.	2	260033	keine	0	keine	4,72	4,2	-0,6	4,16	3,42	37	6	5,5	0	0	0	1	1	1	0	0	0
266,068	4	28SM	38	347	### #### ######## ###### ###### ### ###### ########## ###	3	266068	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
275,103	4	28SM	39	218	Die GesprŠche Ÿber seine Kindheit waren schlimm fŸr ihn.	2	275103	keine	0	keine	4,06	3,4	0,1	4,11	1,63	48	9	5,315789	0	0	0	0	1	1	0	0	0
280,138	4	28SM	40	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	280138	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
291,178	4	28SM	41	303	### ####### #### ######### ####### ################ ###########	3	291178	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
299,219	4	28SM	42	312	### ##### ### ################ ### #########	3	299219	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
306,259	4	28SM	43	331	## #### ##### ######### ### ######### ##### #########	3	306259	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
312,305	4	28SM	44	131	Es gibt starke Argumente fŸr Baumwolle statt Polyester.	1	312305	keine	0	keine	2,33	4,7	1,6	5,05	5,37	48	8	6	0	0	0	0	1	0	0	0	0
318,339	4	28SM	45	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	318339	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
326,373	4	28SM	46	139	Laut und einschneidend hallten die Stimmen der HŠndler auf dem Markt.	1	326373	keine	0	keine	5,39	2,35	0,6	4,16	3,68	59	11	4,157895	0	0	0	0	1	2	0	0	1
335,414	6	28SM	47	410	Ging es gerade um einen Markt?	4	335414	Ja	2481	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
342,438	4	28SM	48	213	Der vorbestrafte Mann war diesmal unschuldig.	2	342438	keine	0	keine	2,78	5,25	1,8	4,79	2,47	40	6	6,052632	0	0	0	1	1	1	0	0	0
352,478	4	28SM	49	337	## #### #### ### ##### ########### ###### #########	3	352478	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
362,524	4	28SM	50	149	Seine zerbrechliche Seele konnte den Streit nicht lŠnger aushalten.	1	362524	keine	0	keine	4,12	3,1	1,1	5,47	4,63	59	9	5,842105	0	0	0	0	1	1	0	1	0
369,571	4	28SM	51	254	WŸtend schaltete der LangschlŠfer den nervigen Wecker aus.	2	369571	keine	0	keine	5,89	3,9	1,3	5,68	1,63	51	8	5,263158	0	0	0	1	1	1	0	0	0
376,616	4	28SM	52	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	376616	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
384,662	4	28SM	53	357	##### #### ############## ##### #### ######## #########	3	384662	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
391,702	4	28SM	54	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	391702	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
396,748	4	28SM	55	162	Dieser Mann ist ein echter Leckerbissen.	1	396748	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0

